source,created_at_local,pick_up_latitude,pick_up_longitude,drop_off_latitude,drop_off_longitude,city,fare,pick_up_distance,state
ADR,2013-09-05 5:28:22,14.534745999999998,121.03816299999998,14.627460000000001,121.038527,Metro Manila,386.875,1.94818,COMPLETED
IOS,2013-09-18 8:36:10,14.48802,121.04442,14.558570000000001,121.02568000000001,Metro Manila,281.875,1.53968,COMPLETED
ADR,2013-09-15 12:20:47,14.587596,121.06023200000001,14.572133,121.015579,Metro Manila,260.0,1.2422799999999998,CANCELLED
ADR,2013-08-29 17:52:33,14.558159,121.018272,14.554672,121.050665,Metro Manila,190.0,0.248744,COMPLETED
IOS,2013-09-17 18:18:56,14.57954,120.98491999999999,14.60895,120.99305,Metro Manila,203.125,3.23484,COMPLETED
IOS,2013-09-21 7:46:33,14.642829999999998,121.05113,14.574010000000001,121.04778999999999,Metro Manila,268.75,0.259912,COMPLETED
ADR,2013-12-17 17:24:11,14.549529000000001,121.063558,14.549287,121.04624,Metro Manila,168.125,0.773175,COMPLETED
IOS,2013-10-21 16:29:26,14.56008,121.02083999999999,14.643070000000002,121.03768000000001,Metro Manila,343.125,1.26787,COMPLETED
IOS,2013-09-11 19:38:29,14.61811,121.05628999999999,14.61459,121.06172,Metro Manila,155.0,0.6297050000000001,CANCELLED
ADR,2013-09-27 12:10:15,14.551283999999999,121.016912,14.557589000000002,121.02299599999999,Metro Manila,155.0,0.25567399999999996,CANCELLED
ADR,2013-10-02 7:59:16,14.543135000000001,121.011761,14.560051000000001,121.02048400000001,Metro Manila,172.5,1.5123799999999998,COMPLETED
IOS,2013-10-04 22:32:39,14.56308,121.01476000000001,14.625539999999999,121.04836999999999,Metro Manila,321.25,0.422137,CANCELLED
IOS,2013-10-08 8:16:05,14.570870000000001,121.00431999999999,14.563629999999998,121.02878,Metro Manila,190.0,1.3596,COMPLETED
ADR,2013-09-17 3:48:30,14.573020000000001,121.077087,14.519546,121.013797,Metro Manila,334.375,1.8725,COMPLETED
ADR,2013-08-30 22:41:58,14.55778,121.09713300000001,14.59549,121.080008,Metro Manila,229.375,2.97858,COMPLETED
IOS,2013-09-30 23:52:13,14.52454,121.04382,14.63759,121.01255,Metro Manila,413.125,0.193769,COMPLETED
ADR,2013-10-01 10:00:29,14.580188,121.03282,14.553583999999999,121.04811399999998,Metro Manila,190.0,2.89357,CANCELLED
IOS,2013-11-15 21:39:46,14.551839999999999,121.02193999999999,14.48068,121.03048999999999,Metro Manila,255.625,0.41275,COMPLETED
IOS,2013-08-29 11:13:37,14.6519,121.01796999999999,14.605570000000002,120.99321,Metro Manila,233.75,1.78548,CANCELLED
IOS,2013-09-05 18:04:39,14.582020000000002,120.98288000000001,14.558620000000001,121.00598000000001,Metro Manila,203.125,0.946427,COMPLETED
IOS,2013-12-13 19:25:06,14.56189,121.0113,14.56506,121.0362,Metro Manila,181.25,0.918325,COMPLETED
IOS,2013-09-04 14:20:09,14.565470000000001,121.0164,14.55,121.03333,Metro Manila,190.0,1.32104,COMPLETED
IOS,2013-09-30 17:16:45,14.554670000000002,121.05066000000001,14.557129999999999,121.01057,Metro Manila,238.125,1.47831,COMPLETED
ADR,2013-10-23 5:30:59,14.559804000000002,121.00095,14.564337,120.99645,Metro Manila,155.0,1.7326,COMPLETED
IOS,2013-10-11 20:13:58,14.55378,121.04581999999999,14.556479999999999,121.02228999999998,Metro Manila,198.75,0.41258599999999995,CANCELLED
IOS,2013-10-29 22:50:39,14.5907,121.06098999999999,14.577329999999998,121.05956,Metro Manila,172.5,0.5116930000000001,CANCELLED
IOS,2013-10-01 11:01:09,14.570179999999999,121.02593999999999,14.52447,121.00108,Metro Manila,277.5,0.994683,COMPLETED
ADR,2013-11-20 8:59:36,14.677404999999998,121.01401200000001,14.644129999999999,121.048379,Metro Manila,255.625,1.28825,CANCELLED
IOS,2013-12-18 8:42:08,14.649220000000001,121.07907,14.646279999999999,121.05093000000001,Metro Manila,198.75,0.199974,COMPLETED
VNU,2013-10-12 18:33:13,14.549732,121.02677,14.479308999999999,121.01982199999999,Metro Manila,316.875,0.15671400000000002,COMPLETED
ADR,2013-09-12 7:19:04,14.630018,121.037631,14.527455999999999,121.00618899999999,Metro Manila,369.375,3.29586,COMPLETED
IOS,2013-10-02 18:23:43,14.554079999999999,121.04588000000001,14.557229999999999,121.02175,Metro Manila,190.0,0.225694,COMPLETED
VNU,2013-12-10 19:01:43,14.549732,121.02677,14.479308999999999,121.01982199999999,Metro Manila,255.625,1.4772299999999998,COMPLETED
IOS,2013-09-17 18:05:21,14.55396,121.04448000000001,14.562289999999999,121.03078000000001,Metro Manila,190.0,1.35152,COMPLETED
